size,risk,lam,m,rbar,hw_fix,astar_nodes,area_ails,area_fix,ails_ok,fix_ok,ails_nodes,fix_nodes,ails_red,fix_red,ails_opt,fix_opt
500,gradient,1.0,0,10.99,13,43014,13379,13795,1,1,9907,10326,76.97,75.99,1.0,1.0
500,gradient,1.0,1,10.52,12,61312,14279,13870,1,1,10924,10612,82.18,82.69,1.0,1.0
500,gradient,1.0,2,11.01,14,71617,14445,14837,1,1,10905,11201,84.77,84.36,1.0074,1.0061
500,gradient,1.0,3,10.62,12,41567,15147,14917,1,1,11536,11242,72.25,72.95,1.0,1.0
500,gradient,1.0,4,11.26,14,76364,16701,16234,1,1,12880,12558,83.13,83.56,1.0014,1.0014
500,gradient,1.0,5,10.87,12,50029,12219,11828,1,1,9424,8982,81.16,82.05,1.0061,1.0055
500,gradient,1.0,6,10.43,13,45607,11202,11485,1,1,8387,8575,81.61,81.2,1.0019,1.0015
500,gradient,1.0,7,10.58,13,27204,12182,12296,1,1,8968,9194,67.03,66.2,1.0,1.0
500,gradient,1.0,8,10.79,12,54061,15803,15264,1,1,11816,11495,78.14,78.74,1.0,1.0
500,gradient,1.0,9,11.02,13,45374,12771,12718,1,1,9868,9683,78.25,78.66,1.0062,1.0049
500,gradient,1.0,10,10.51,12,63849,12759,12971,1,1,9764,9858,84.71,84.56,1.0008,1.0003
500,gradient,1.0,11,11.72,14,37409,12717,12901,1,1,9626,9852,74.27,73.66,1.0,1.0
500,gradient,1.0,12,10.86,14,46315,10939,11025,1,1,8590,8601,81.45,81.43,1.0,1.0
500,gradient,1.0,13,10.9,13,89153,12793,12346,1,1,9933,9504,88.86,89.34,1.0,1.0
500,gradient,1.0,14,10.85,13,42230,10366,10343,1,1,7647,7733,81.89,81.69,1.003,1.0027
500,hotspot,1.0,0,10.63,12,23345,17224,17225,1,1,10287,10135,55.93,56.59,1.0087,1.0074
500,hotspot,1.0,1,10.31,12,20822,9448,9236,1,1,7202,6993,65.41,66.42,1.0125,1.013
500,hotspot,1.0,2,11.31,13,4518,11287,11227,1,1,4446,3421,1.59,24.28,1.0102,1.007
500,hotspot,1.0,3,10.25,14,10770,12338,12419,1,1,8040,8064,25.35,25.13,1.0039,1.0039
500,hotspot,1.0,4,10.51,12,7766,11876,11701,1,1,5995,5939,22.8,23.53,1.0094,1.0054
500,hotspot,1.0,5,10.82,13,16395,14511,14090,1,1,8689,9140,47.0,44.25,1.0,1.0
500,hotspot,1.0,6,10.83,12,20317,11280,10865,1,1,8020,7509,60.53,63.04,1.0022,1.0023
500,hotspot,1.0,7,10.2,12,6917,13443,13299,1,1,4535,4975,34.44,28.08,1.0,1.0
500,hotspot,1.0,8,10.42,14,7250,10746,10561,1,1,5929,5790,18.22,20.14,1.0,1.0
500,hotspot,1.0,9,11.06,13,17203,20184,20606,1,1,8969,8395,47.86,51.2,1.0038,1.0011
500,hotspot,1.0,10,10.98,15,11075,13822,14156,1,1,7229,7376,34.73,33.4,1.0,1.0
500,hotspot,1.0,11,11.31,16,4950,10845,10975,1,1,4615,4638,6.77,6.3,1.0,1.0
500,hotspot,1.0,12,10.45,12,3105,11146,11285,1,1,3105,3105,0.0,0.0,1.0,1.0
500,hotspot,1.0,13,10.87,12,11860,19025,18300,1,1,10018,10145,15.53,14.46,1.0,1.0
500,hotspot,1.0,14,11.21,15,15541,14621,14136,1,1,9837,8570,36.7,44.86,1.0177,1.0155
500,uniform,1.0,0,10.22,12,27493,10592,10612,1,1,7635,7913,72.23,71.22,1.0,1.0
500,uniform,1.0,1,10.66,12,18997,10642,10601,1,1,7676,7685,59.59,59.55,1.0,1.0
500,uniform,1.0,2,11.0,12,20310,10783,10902,1,1,8003,7924,60.6,60.98,1.0,1.0
500,uniform,1.0,3,10.93,13,34236,12301,12416,1,1,9107,9247,73.4,72.99,1.0,1.0
500,uniform,1.0,4,10.73,13,39251,11209,11148,1,1,8531,8450,78.27,78.47,1.0,1.0
500,uniform,1.0,5,10.64,13,64199,13915,14113,1,1,10670,10777,83.38,83.21,1.0,1.0
500,uniform,1.0,6,11.34,13,75042,16922,16440,1,1,13090,12718,82.56,83.05,1.0,1.0
500,uniform,1.0,7,11.09,13,37157,13618,13809,1,1,10128,10304,72.74,72.27,1.0,1.0
500,uniform,1.0,8,10.83,13,25766,11335,11576,1,1,8216,8540,68.11,66.86,1.0,1.0
500,uniform,1.0,9,10.25,12,32117,12083,11864,1,1,9083,8897,71.72,72.3,1.0,1.0
500,uniform,1.0,10,10.86,13,72661,20508,21187,1,1,15397,16120,78.81,77.81,1.0,1.0
500,uniform,1.0,11,10.72,13,24217,11255,11693,1,1,8259,8587,65.9,64.54,1.0,1.0
500,uniform,1.0,12,10.85,12,18437,10556,10376,1,1,7647,7686,58.52,58.31,1.0,1.0
500,uniform,1.0,13,10.76,13,58058,13723,14230,1,1,10488,10777,81.94,81.44,1.0,1.0
500,uniform,1.0,14,10.84,13,59374,14658,14296,1,1,10953,10816,81.55,81.78,1.0,1.0
