N,algo,median_ms,speedup_vs_astar,mean_nodes
200,astar,0.4345,1.0,2794
200,ils,0.4594,0.946,2755
200,ails,0.61,0.712,2382
200,jps,0.877,0.495,2493
300,astar,1.0321,1.0,6438
300,ils,1.0796,0.956,6332
300,ails,1.3844,0.746,5367
300,jps,2.1016,0.491,5949
500,astar,3.0513,1.0,18219
500,ils,3.2342,0.943,18012
500,ails,3.872,0.788,14491
500,jps,6.2954,0.485,17288
750,astar,7.3476,1.0,42302
750,ils,7.6845,0.956,42054
750,ails,9.2509,0.794,35180
750,jps,15.4032,0.477,40708
1000,astar,13.1274,1.0,74962
1000,ils,13.6383,0.963,74865
1000,ails,16.6602,0.788,63945
1000,jps,27.4027,0.479,72575
