density,risk_type,lambda,heuristic,astar_time,astar_nodes,ils_speedup,ils_node_red,ils_opt,n_maps,ils_solved
0.1,gradient,1.0,octile,76.67937192517067,8144.642857142857,2.046323829063945,48.1026090769568,1.0001882,14,14
0.1,gradient,1.0,euclidean,65.86596714415853,8841.57142857143,2.038390149899007,51.438011988819056,1.0001882,14,14
0.1,gradient,1.0,manhattan,57.395991073073155,5059.5,1.8222042869111437,34.93992912907825,1.0001769,14,14
0.1,gradient,1.0,risk_adj_03,40.15705642814282,3828.5714285714284,1.2747853948809653,23.79850746268656,1.0002136,14,14
0.1,hotspot,1.0,octile,42.904809570505414,4565.285714285715,1.46565848380558,31.522045248302412,1.0014061,14,14
0.1,hotspot,1.0,euclidean,43.223214214127175,5532.428571428572,1.4416794358681915,35.46363002556356,1.0014061,14,14
0.1,hotspot,1.0,manhattan,20.110607143059106,2147.0714285714284,1.3160679444073284,29.851292458165602,1.0003159,14,14
0.1,hotspot,1.0,risk_adj_03,11.793696355847974,1027.7857142857142,1.1980249550739388,15.727291681145317,1.0003788,14,14
0.1,uniform,1.0,octile,51.1324880686256,6166.0,1.526118126049961,34.69255363514203,1.0,14,14
0.1,uniform,1.0,euclidean,48.530333286700106,6900.428571428572,1.6286831801676356,39.45096577852307,1.0,14,14
0.1,uniform,1.0,manhattan,24.39675000018074,2725.0,1.2926761490818044,25.093053735255566,1.0,14,14
0.1,uniform,1.0,risk_adj_03,3.195437427036398,311.92857142857144,1.044762590609843,11.289214563773765,0.9996341,14,14
0.2,gradient,1.0,octile,68.38447099905282,7786.076923076923,1.9987314907451337,48.38123277250319,1.0,13,13
0.2,gradient,1.0,euclidean,60.93343922895236,8431.461538461539,2.119367744132056,51.813263509383354,1.0,13,13
0.2,gradient,1.0,manhattan,42.90708630623367,4798.461538461538,1.4741843872536835,33.22699583199743,1.0,13,13
0.2,gradient,1.0,risk_adj_03,34.67855769178221,3593.769230769231,1.052685187748183,22.063828420985043,0.99977946,13,13
0.2,hotspot,1.0,octile,46.4161247688865,5223.0,1.7113850403384094,40.2377060045067,1.003922,13,13
0.2,hotspot,1.0,euclidean,43.23750953951206,6061.923076923077,1.736502714088342,42.572171816509105,1.003922,13,13
0.2,hotspot,1.0,manhattan,22.09164107961652,2575.6923076923076,1.4348434686271432,33.323378329948625,1.0029296,13,13
0.2,hotspot,1.0,risk_adj_03,14.469660307021023,1483.3076923076924,1.1108583792873985,12.43582430119795,1.0019665,13,13
0.2,uniform,1.0,octile,48.36797438306698,6100.0,1.6208570532913695,37.62295081967213,1.0,13,13
0.2,uniform,1.0,euclidean,45.850660229916684,6801.153846153846,1.6911372389987942,42.29599049934966,1.0,13,13
0.2,uniform,1.0,manhattan,22.37988799886527,2695.153846153846,1.2788163018536254,27.057111054028603,1.0,13,13
0.2,uniform,1.0,risk_adj_03,5.727522539718148,586.7692307692307,1.0469018188253518,6.712113266911379,0.9996288,13,13
0.3,gradient,1.0,octile,52.72726379917003,6476.8,1.6860743593325445,50.11837121212122,1.0,15,15
0.3,gradient,1.0,euclidean,46.61450006630427,7081.8,2.1650239835356153,53.227522193039434,1.0,15,15
0.3,gradient,1.0,manhattan,29.63326660101302,3658.866666666667,1.5912408022245272,36.92217990999034,1.0,15,15
0.3,gradient,1.0,risk_adj_03,25.322572198153164,2916.133333333333,1.3716258793660767,28.63152119244662,1.0,15,15
0.3,hotspot,1.0,octile,36.70305559838501,4087.8,1.625933533318133,37.53282124043903,1.0016174,15,15
0.3,hotspot,1.0,euclidean,32.63263066182844,4820.666666666667,1.7361640492589696,40.05116857972618,1.0016174,15,15
0.3,hotspot,1.0,manhattan,15.29399440138756,1890.1333333333334,1.2927691772153882,26.28033295711061,1.000378,15,15
0.3,hotspot,1.0,risk_adj_03,11.305400132550858,1266.1333333333334,1.1360942494338577,16.9281802864364,1.0015868,15,15
0.3,uniform,1.0,octile,37.886949998210184,4951.066666666667,1.569478528671557,36.50661136994049,1.0,15,15
0.3,uniform,1.0,euclidean,34.557777933271915,5586.666666666667,1.6505735028968143,41.756563245823386,1.0,15,15
0.3,uniform,1.0,manhattan,17.518999932993513,2271.8,1.2583655391209931,23.573084485136608,1.0,15,15
0.3,uniform,1.0,risk_adj_03,7.350866664395046,842.9333333333333,0.9712156461667149,2.4438468838974936,1.0,15,15
