risk,lam,method,speedup,node_red_pct,cost_ratio,n
gradient,0.5,ILS,3.463,70.94,1.0,15
gradient,0.5,AILS,11.612,90.57,1.0,15
gradient,0.5,RILS,1.244,21.67,1.0,15
gradient,1.0,ILS,5.486,81.57,1.0,15
gradient,1.0,AILS,18.834,94.12,1.0,15
gradient,1.0,RILS,1.701,41.57,1.0,15
gradient,2.0,ILS,8.034,85.89,1.0,15
gradient,2.0,AILS,25.753,95.51,1.0,15
gradient,2.0,RILS,2.219,52.76,1.0,15
hotspot,0.5,ILS,1.041,6.94,1.00001,15
hotspot,0.5,AILS,2.124,42.89,1.00078,15
hotspot,0.5,RILS,0.883,0.25,1.0,15
hotspot,1.0,ILS,1.294,18.14,1.00016,15
hotspot,1.0,AILS,2.991,61.71,1.00166,15
hotspot,1.0,RILS,1.013,-0.01,1.0,15
hotspot,2.0,ILS,1.489,25.03,1.00954,15
hotspot,2.0,AILS,3.799,60.01,1.02063,15
hotspot,2.0,RILS,0.981,6.02,1.00016,15
ridge,0.5,ILS,1.07,14.12,1.0,15
ridge,0.5,AILS,2.87,69.04,1.0,15
ridge,0.5,RILS,0.91,0.0,1.0,15
ridge,1.0,ILS,2.47,52.61,1.0,15
ridge,1.0,AILS,6.606,83.34,1.0,15
ridge,1.0,RILS,1.297,12.48,1.0,15
ridge,2.0,ILS,3.806,72.8,1.0,15
ridge,2.0,AILS,10.586,90.57,1.0,15
ridge,2.0,RILS,1.765,41.96,1.0,15
