param,value,node_reduction_pct,cost_ratio,n
ILS.alpha0,0.01,95.14,1.00736,50
ILS.alpha0,0.02,94.77,1.00289,50
ILS.alpha0,0.03,90.23,1.00029,50
ILS.alpha0,0.05,83.49,1.0,50
ILS.alpha0,0.07,79.28,1.0,50
ILS.alpha0,0.1,68.74,1.0,50
ILS.alpha0,0.15,55.23,1.0,50
ILS.alpha0,0.2,42.74,1.0,50
ILS.alpha0,0.3,22.28,1.0,50
ILS.Kmax,1,83.62,1.0,50
ILS.Kmax,3,83.51,1.0,50
ILS.Kmax,5,83.55,1.0,50
ILS.Kmax,10,83.52,1.0,50
AILS.alpha,0.5,77.81,1.0,50
AILS.alpha,1.0,87.35,1.0005,50
AILS.alpha,2.0,94.06,1.00287,50
AILS.omega,1,82.55,1.00014,50
AILS.omega,3,87.25,1.00024,50
AILS.omega,5,87.57,1.00028,50
AILS.omega,7,87.64,1.00006,50
AILS.omega,9,87.75,1.00037,50
RILS.beta,0.5,35.89,1.0,50
RILS.beta,1.0,45.41,1.0,50
RILS.beta,2.0,55.14,1.0,50
