density,risk,lam,method,speedup,node_red_pct,cost_ratio,n
0.1,gradient,0.5,ILS,3.118,63.11,1.00192,95
0.1,gradient,0.5,AILS,5.519,80.23,1.00394,95
0.1,gradient,0.5,RILS,1.034,5.46,1.00001,95
0.1,gradient,1.0,ILS,4.383,73.43,1.00296,96
0.1,gradient,1.0,AILS,7.841,85.88,1.00632,96
0.1,gradient,1.0,RILS,1.218,17.63,1.0,96
0.1,hotspot,0.5,ILS,1.296,20.1,1.00282,89
0.1,hotspot,0.5,AILS,1.838,40.63,1.00674,89
0.1,hotspot,0.5,RILS,0.952,3.77,1.0,89
0.1,hotspot,1.0,ILS,1.539,28.57,1.00924,87
0.1,hotspot,1.0,AILS,2.312,48.69,1.01913,87
0.1,hotspot,1.0,RILS,0.986,6.67,1.00001,87
0.1,uniform,0.5,ILS,2.275,52.23,1.0,88
0.1,uniform,0.5,AILS,4.021,73.57,1.0,88
0.1,uniform,0.5,RILS,1.023,5.88,1.0,88
0.1,uniform,1.0,ILS,3.364,67.45,1.0,88
0.1,uniform,1.0,AILS,6.066,82.64,1.00005,88
0.1,uniform,1.0,RILS,1.193,17.76,1.0,88
0.2,gradient,0.5,ILS,3.101,64.37,1.00077,86
0.2,gradient,0.5,AILS,3.675,71.32,1.00156,86
0.2,gradient,0.5,RILS,1.013,5.99,1.0,86
0.2,gradient,1.0,ILS,4.383,73.7,1.00208,83
0.2,gradient,1.0,AILS,5.161,78.94,1.00343,83
0.2,gradient,1.0,RILS,1.221,18.17,1.0,83
0.2,hotspot,0.5,ILS,1.457,26.72,1.00348,85
0.2,hotspot,0.5,AILS,1.561,34.36,1.00543,85
0.2,hotspot,0.5,RILS,0.933,3.45,1.0001,85
0.2,hotspot,1.0,ILS,1.658,34.23,1.01103,84
0.2,hotspot,1.0,AILS,1.817,42.7,1.01533,84
0.2,hotspot,1.0,RILS,0.978,6.44,1.00017,84
0.2,uniform,0.5,ILS,2.414,56.27,1.00016,85
0.2,uniform,0.5,AILS,2.87,64.95,1.00027,85
0.2,uniform,0.5,RILS,1.021,6.08,1.0,85
0.2,uniform,1.0,ILS,3.454,68.67,1.0,74
0.2,uniform,1.0,AILS,4.044,74.85,1.00036,74
0.2,uniform,1.0,RILS,1.187,17.74,1.0,74
0.3,gradient,0.5,ILS,3.418,66.48,1.00101,73
0.3,gradient,0.5,AILS,3.092,65.06,1.00132,73
0.3,gradient,0.5,RILS,1.074,7.98,1.0,73
0.3,gradient,1.0,ILS,4.381,74.39,1.00223,64
0.3,gradient,1.0,AILS,3.952,73.38,1.00224,64
0.3,gradient,1.0,RILS,1.229,18.59,1.0,64
0.3,hotspot,0.5,ILS,1.675,37.62,1.00295,70
0.3,hotspot,0.5,AILS,1.499,35.82,1.00309,70
0.3,hotspot,0.5,RILS,0.99,6.92,1.0,70
0.3,hotspot,1.0,ILS,1.859,39.21,1.01145,74
0.3,hotspot,1.0,AILS,1.654,36.88,1.0122,74
0.3,hotspot,1.0,RILS,1.01,8.42,1.00033,74
0.3,uniform,0.5,ILS,2.58,59.38,1.00023,68
0.3,uniform,0.5,AILS,2.334,58.02,1.00031,68
0.3,uniform,0.5,RILS,1.023,7.93,1.0,68
0.3,uniform,1.0,ILS,3.554,69.9,1.00057,66
0.3,uniform,1.0,AILS,3.188,68.68,1.00042,66
0.3,uniform,1.0,RILS,1.203,18.89,1.0,66
